clip,truth_events,matched,false_reports,misses,coverage,margin_mae_m
bb39fa60dcae38fd,1,1,0,0,1.0,0.2844106112729294
26209bc27cc326c7,0,0,1,0,1.0,0.3567498460054335
cba820d7c56a70fc,0,0,0,0,1.0,0.36591783216685503
39662adfbad72c2a,0,0,0,0,1.0,0.21363303593690566
b3010edbf5325126,1,0,0,1,0.9583333333333334,0.46484241516360864
2a79e1afb148b4fd,0,0,0,0,1.0,0.21643309697739008
9e03f128c06e6eb3,1,1,0,0,0.8125,0.3911432410576454
2e503718b4f571fc,1,0,0,1,0.9583333333333334,0.8914018412554462
33f3d85cad776718,0,0,0,0,1.0,0.23046579892504024
98dd40516b5d206d,0,0,0,0,1.0,0.1822410206788049
3a021cba4f4f89e1,1,1,0,0,0.9583333333333334,0.4482380781945769
83a57d3a610a1ad9,1,1,0,0,0.875,0.38321355870667456
95ead87c74dbe9e6,0,0,0,0,1.0,0.3307135184125232
0e62b30cc7364b17,1,1,0,0,1.0,0.31658170665801544
33d23922e0320810,0,0,1,0,1.0,0.25958363244654337
4eb1f59811b69b3f,0,0,0,0,1.0,0.2257203906803232
b9e99db2868ff029,1,1,0,0,1.0,0.2269390798047979
9f5d52d213e37369,1,1,0,0,1.0,0.2573366933070661
af08fe58f04a2fcd,1,1,0,0,1.0,0.1733660023176944
f573341acac38ed5,1,1,0,0,1.0,0.3807455715549099
8e11add0ef33f1a9,1,1,0,0,0.9583333333333334,0.3022592818155534
db138e3322d5e65d,1,1,0,0,1.0,0.24799971934976403
601d2776196b2a35,0,0,0,0,0.9166666666666666,0.2964989444873931
b77262fdbd030e24,0,0,0,0,1.0,0.26110925644754696
ed931e3775d2b468,0,0,0,0,1.0,0.2810635634131129
b6109eccacb9a357,1,1,0,0,0.8958333333333334,0.3138882525645642
9e4044e690a14b3a,1,1,0,0,0.875,0.4313012603485702
3beb184b3f355aaf,1,1,0,0,1.0,0.22183801590687233
804df9eb203f5819,1,1,0,0,1.0,0.21918494359974747
18e6b257fe36bcd6,1,0,0,1,1.0,0.38975301511751836
c494f193e23cff03,0,0,0,0,1.0,0.16731904703687328
9c14d8b902df9d8b,1,1,0,0,1.0,0.25651074573970095
c71f0ce1d1d7adcd,1,1,0,0,0.8958333333333334,0.39842928130409555
785fcafb1a1eff72,1,1,0,0,1.0,0.18385604823245574
dad80feb4749f8e3,0,0,0,0,1.0,0.27381440538073715
b15df515fc1f65a9,0,0,0,0,1.0,0.34798306171986626
5e78742f2dae980b,1,1,0,0,0.8333333333333334,0.26198421053495097
4b643bb3ac2fd608,1,1,0,0,1.0,0.36269464813060664
5f111e037bd0d5a7,1,1,0,0,1.0,0.28935030190873906
bae46ed62368f227,0,0,0,0,1.0,0.32424991159305083
