clip,split,truth_events,reported_events,matched_events,false_reports,missed_events,annotated_car_frame_coverage,margin_mae_m,identity_claims,identity_correct
2d66baf262858c4a,test,1,0,0,0,1,0.9583333333333334,0.570542973349012,0,0
f6fad7b0f0f43837,test,1,1,1,0,0,0.8958333333333334,0.5368622080151476,0,0
31c20cc1705a7461,test,0,0,0,0,0,0.9375,0.3597351082413383,0,0
f49f580df56203e1,test,1,0,0,0,1,0.9166666666666666,0.9338394727543912,0,0
1033f9c11e8d6c4b,test,0,0,0,0,0,0.9583333333333334,0.7398458258674762,0,0
c2b1bd79b7d86a5b,test,1,1,1,0,0,0.9583333333333334,0.31847600619525307,0,0
420c2994d4fa0cf6,test,1,1,1,0,0,0.9583333333333334,0.35340368999462696,0,0
6ebc447e7909037d,test,0,0,0,0,0,0.9583333333333334,0.46966063853135565,0,0
a6130bc8ae524232,test,0,1,0,1,0,0.9166666666666666,0.35148385450502734,0,0
e0886a4dd1e3a903,test,1,1,1,0,0,0.75,0.5690984022921003,0,0
87b5ea133eb025bf,test,0,0,0,0,0,0.9583333333333334,0.6880278390052915,0,0
49c612c2be9758e7,test,0,0,0,0,0,0.9583333333333334,0.2832135153877557,0,0
b1e15240d60e2001,test,0,0,0,0,0,0.875,0.3289319862665027,0,0
878d163cc931f40e,test,1,1,1,0,0,0.9583333333333334,0.2854643648140348,0,0
ce92ab196c2e1b3c,test,1,1,1,0,0,0.9583333333333334,0.20366017151542784,0,0
276e102e4a8e9c05,test,0,0,0,0,0,0.9583333333333334,0.3260927362295723,0,0
c16ceb5334e9feff,test,1,0,0,0,1,0.9583333333333334,0.7369884065675529,0,0
04b09f2807fdeca7,test,0,0,0,0,0,0.0,,0,0
e0a0cdd7a83a4060,test,0,0,0,0,0,0.9583333333333334,0.35196735654695405,0,0
2404e61f7371e134,test,0,0,0,0,0,0.7916666666666666,0.36099337706736717,0,0
0e18cafa2ff5d208,test,0,0,0,0,0,0.9583333333333334,0.675160205080699,0,0
a50b51146979bded,test,0,0,0,0,0,0.9583333333333334,0.344949257503724,0,0
a8066918657d74d2,test,1,1,1,0,0,0.9583333333333334,0.1856714079060443,0,0
7ef3636e4ff89ffd,test,1,0,0,0,1,0.8125,0.19877503585856937,0,0
8adc20b427592a34,test,0,0,0,0,0,0.875,0.43338574583569817,0,0
75f732f9eaf9e10a,test,1,1,1,0,0,0.9583333333333334,0.44017844399019307,0,0
e99055ffc96c4ad9,test,0,0,0,0,0,0.9583333333333334,0.3508385710434047,0,0
0d32ff34150246a9,test,1,1,1,0,0,0.9583333333333334,0.3218520300888647,0,0
f84f21ea9c8744f8,test,0,0,0,0,0,0.9583333333333334,0.4161280886875062,0,0
61f6b435a5d6638f,test,1,1,0,1,1,0.7291666666666666,0.7039054660486559,0,0
9439c526cd20548e,test,1,1,1,0,0,0.9583333333333334,0.21437932764702072,0,0
8afd096549d86199,test,1,1,0,1,1,0.9583333333333334,0.32945378315615154,0,0
431be1d791f7cb89,test,0,0,0,0,0,0.9166666666666666,0.2515056959194413,0,0
82adb47926f286f4,test,0,0,0,0,0,0.08333333333333333,0.621314896710685,0,0
47e3d12712af2d0b,test,0,1,0,1,0,0.5,0.4631926942753326,0,0
01e2e558d9987d61,test,0,0,0,0,0,0.9166666666666666,0.2935384641800703,0,0
a424bc61e40c9b1e,test,0,0,0,0,0,0.8333333333333334,0.8937105021449179,0,0
c95843b89a72c6ec,test,0,0,0,0,0,0.9583333333333334,0.3037878770186017,0,0
c177ebf534aca041,test,1,1,1,0,0,0.875,0.2567483527049172,0,0
3ca1d6860de44b24,test,0,0,0,0,0,0.8958333333333334,1.0547616593633424,0,0
